,Source,Destination,TravelTimeInMin
0,ADUGODI,ASHOK NAGAR,48
1,ASHOK NAGAR,ADUGODI,48
2,ADUGODI,BANASWADI,74
3,BANASWADI,ADUGODI,74
4,ADUGODI,EJIPURA,46
5,EJIPURA,ADUGODI,46
6,ADUGODI,INDIRANAGAR,58
7,INDIRANAGAR,ADUGODI,58
8,ADUGODI,KORAMANGALA,40
9,KORAMANGALA,ADUGODI,40
10,ADUGODI,SHANTI NAGAR,43
11,SHANTI NAGAR,ADUGODI,43
12,ADUGODI,AKSHAYANAGAR,64
13,AKSHAYANAGAR,ADUGODI,64
14,ADUGODI,BHOGANHALLI,67
15,BHOGANHALLI,ADUGODI,67
16,ADUGODI,BROOKEFIELD,84
17,BROOKEFIELD,ADUGODI,84
18,ADUGODI,C V RAMAN NAGAR,70
19,C V RAMAN NAGAR,ADUGODI,70
20,ADUGODI,CHINNAPANNA HALLI,69
21,CHINNAPANNA HALLI,ADUGODI,69
22,ADUGODI,DODDAKANNELLI,63
23,DODDAKANNELLI,ADUGODI,63
24,ADUGODI,DODDANEKKUNDI,72
25,DODDANEKKUNDI,ADUGODI,72
26,ADUGODI,GUNJUR VILLAGE,82
27,GUNJUR VILLAGE,ADUGODI,82
28,ADUGODI,HOODI,80
29,HOODI,ADUGODI,80
30,ADUGODI,HSR LAYOUT,49
31,HSR LAYOUT,ADUGODI,49
32,ADUGODI,KADUBEESANAHALLI,62
33,KADUBEESANAHALLI,ADUGODI,62
34,ADUGODI,KAGGADASAPURA,67
35,KAGGADASAPURA,ADUGODI,67
36,ADUGODI,KODIHALLI,54
37,KODIHALLI,ADUGODI,54
38,ADUGODI,KRISHNARAJAPURA,84
39,KRISHNARAJAPURA,ADUGODI,84
40,ADUGODI,MAHADEVAPURA,73
41,MAHADEVAPURA,ADUGODI,73
42,ADUGODI,MARATHAHALLI,66
43,MARATHAHALLI,ADUGODI,66
44,ADUGODI,MUNNEKOLLAL,75
45,MUNNEKOLLAL,ADUGODI,75
46,ADUGODI,MURGESH PALLYA,60
47,MURGESH PALLYA,ADUGODI,60
